date,fuel,generation
2015-10-01,WOO,87592.408
2015-10-01,WWW,3195368.53
2015-11-01,COL,85765306.046
2015-11-01,DFO,430757.098
2015-11-01,GEO,1333628.251
2015-11-01,HYC,19337956.564
2015-11-01,MLG,1611671.457
2015-11-01,NG,101345985.04
2015-11-01,NUC,60289693.0
2015-11-01,OOG,890896.357
2015-11-01,ORW,283281.602
2015-11-01,OTH,1195685.564
2015-11-01,PC,715303.626
2015-11-01,RFO,542930.036
2015-11-01,SUN,1716754.186
2015-11-01,WND,19677266.325
2015-11-01,WOC,718503.631
2015-11-01,WOO,46002.21
2015-11-01,WWW,3384438.99
2015-12-01,COL,88814264.859
2015-12-01,DFO,431367.059
2015-12-01,GEO,1376988.468
2015-12-01,HYC,23165218.348
2015-12-01,MLG,1670315.976
2015-12-01,NG,108206428.939
2015-12-01,NUC,69633664.0
2015-12-01,OOG,1096638.046
2015-12-01,ORW,291717.136
2015-12-01,OTH,1226620.97
2015-12-01,PC,749398.456
2015-12-01,RFO,479495.704
2015-12-01,SUN,1560855.143
2015-12-01,WND,20092442.399
2015-12-01,WOC,694195.581
2015-12-01,WOO,55744.305
2015-12-01,WWW,3554735.088
2016-01-01,COL,112482404.36
2016-01-01,DFO,693301.052
2016-01-01,GEO,1332006.0929999999
2016-01-01,HYC,25615560.015
2016-01-01,MLG,1517892.349
2016-01-01,NG,109760032.681
2016-01-01,NUC,72551596.0
2016-01-01,OOG,1194849.902
2016-01-01,ORW,276682.58999999997
2016-01-01,OTH,1152370.875
2016-01-01,PC,966990.322
2016-01-01,RFO,615010.744
2016-01-01,SUN,1480673.125
2016-01-01,WND,18462128.658999998
2016-01-01,WOC,985002.513
2016-01-01,WOO,99257.908
2016-01-01,WWW,3600525.598
2016-02-01,COL,91861093.101
2016-02-01,DFO,530901.479
2016-02-01,GEO,1243383.806
2016-02-01,HYC,24139556.95
2016-02-01,MLG,1423279.726
2016-02-01,NG,98732685.536
2016-02-01,NUC,65638141.0
2016-02-01,OOG,1061558.225
2016-02-01,ORW,285046.694
2016-02-01,OTH,1039287.008
2016-02-01,PC,910099.12
2016-02-01,RFO,679071.496
2016-02-01,SUN,2232157.162
2016-02-01,WND,20133732.607
2016-02-01,WOC,847056.133
2016-02-01,WOO,109672.58899999999
2016-02-01,WWW,3406332.734
2016-03-01,COL,71471788.158
2016-03-01,DFO,400105.195
2016-03-01,GEO,1315158.662
2016-03-01,HYC,27390355.926
2016-03-01,MLG,1528696.299
2016-03-01,NG,103979763.556
2016-03-01,NUC,66148894.0
2016-03-01,OOG,1197353.273
2016-03-01,ORW,280546.43
2016-03-01,OTH,1090932.98
2016-03-01,PC,926793.199
2016-03-01,RFO,416238.236
2016-03-01,SUN,2608678.414
2016-03-01,WND,21932379.673
2016-03-01,WOC,745774.325
2016-03-01,WOO,76734.773
2016-03-01,WWW,3403118.151
2016-04-01,COL,71604398.649
2016-04-01,DFO,373745.361
2016-04-01,GEO,1208969.835
2016-04-01,HYC,25878202.732
2016-04-01,MLG,1524134.913
2016-04-01,NG,99020078.733
2016-04-01,NUC,62732597.0
2016-04-01,OOG,1132000.712
2016-04-01,ORW,287373.182
2016-04-01,OTH,1109653.945
2016-04-01,PC,1006057.543
2016-04-01,RFO,423739.582
2016-04-01,SUN,2870309.314
2016-04-01,WND,20793070.355
2016-04-01,WOC,542725.5800000001
2016-04-01,WOO,56736.286
2016-04-01,WWW,2967319.766
2016-05-01,COL,81048739.018
2016-05-01,DFO,470222.92100000003
2016-05-01,GEO,1341840.417
2016-05-01,HYC,25486459.773
2016-05-01,MLG,1628766.952
2016-05-01,NG,110549649.279
2016-05-01,NUC,66580490.0
2016-05-01,OOG,1053819.591
2016-05-01,ORW,280268.317
2016-05-01,OTH,1194338.116
2016-05-01,PC,973763.2390000001
2016-05-01,RFO,457885.256
2016-05-01,SUN,3414200.603
2016-05-01,WND,18840509.703
2016-05-01,WOC,670807.252
2016-05-01,WOO,65529.477
2016-05-01,WWW,3187127.533
2016-06-01,COL,115277377.818
2016-06-01,DFO,389094.757
2016-06-01,GEO,1251392.659
2016-06-01,HYC,23236921.937
2016-06-01,MLG,1548348.433
2016-06-01,NG,131558063.559
2016-06-01,NUC,67177988.0
2016-06-01,OOG,1043218.907
2016-06-01,ORW,247006.221
2016-06-01,OTH,1180641.998
2016-06-01,PC,1004589.8319999999
2016-06-01,RFO,513694.982
2016-06-01,SUN,3462678.061
2016-06-01,WND,16297193.528
2016-06-01,WOC,762504.59
2016-06-01,WOO,78222.914
2016-06-01,WWW,3413562.656
2016-07-01,COL,135337739.922
2016-07-01,DFO,428777.61
2016-07-01,GEO,1311215.298
2016-07-01,HYC,21455375.525
2016-07-01,MLG,1578148.561
2016-07-01,NG,151356757.483
2016-07-01,NUC,70352620.0
2016-07-01,OOG,1076851.821
2016-07-01,ORW,262283.626
2016-07-01,OTH,1225286.565
2016-07-01,PC,1048834.533
2016-07-01,RFO,777969.2509999999
2016-07-01,SUN,3933111.767
2016-07-01,WND,17610661.273
2016-07-01,WOC,982541.137
2016-07-01,WOO,74231.958
2016-07-01,WWW,3657697.962
2016-08-01,COL,134648125.969
2016-08-01,DFO,416111.732
2016-08-01,GEO,1324263.643
2016-08-01,HYC,19569603.694
2016-08-01,MLG,1575385.773
2016-08-01,NG,154953078.426
2016-08-01,NUC,71526405.0
2016-08-01,OOG,1063922.406
2016-08-01,ORW,284947.491
2016-08-01,OTH,1248029.741
2016-08-01,PC,1077897.224
