date,fuel,generation
2015-10-01,HYC,33259005.783999998
2015-10-01,MLG,3108187.156
2015-10-01,NG,218495554.23
2015-10-01,NUC,121141842.0
2015-10-01,OOG,1792381.578
2015-10-01,ORW,564553.1
2015-10-01,OTH,2402401.7
2015-10-01,PC,1653321.318
2015-10-01,RFO,1023671.324
2015-10-01,SUN,3801940.386
2015-10-01,WND,32752942.626
2015-10-01,WOC,899887.148
2015-10-01,WOO,175072.418
2015-10-01,WWW,6357458.466
2015-11-01,COL,171501320.544
2015-11-01,DFO,802671.294
2015-11-01,GEO,2667256.502
2015-11-01,HPS,-570552.0
2015-11-01,HYC,38673483.012
2015-11-01,MLG,3223342.914
2015-11-01,NG,202575492.28
2015-11-01,NUC,120527882.0
2015-11-01,OOG,1781785.936
2015-11-01,ORW,566438.282
2015-11-01,OTH,2386649.166
2015-11-01,PC,1430607.252
2015-11-01,RFO,1082906.1099999999
2015-11-01,SUN,3433508.372
2015-11-01,WND,39354532.65
2015-11-01,WOC,1437007.262
2015-11-01,WOO,91908.42
2015-11-01,WWW,6732798.06
2015-12-01,COL,177572941.852
2015-12-01,DFO,825987.9
2015-12-01,GEO,2753976.936
2015-12-01,HPS,-561404.0
2015-12-01,HYC,46328343.02
2015-12-01,MLG,3340631.952
2015-12-01,NG,216284947.236
2015-12-01,NUC,139267328.0
2015-12-01,OOG,2192987.502
2015-12-01,ORW,583301.07
2015-12-01,OTH,2448473.2739999997
2015-12-01,PC,1498796.912
2015-12-01,RFO,955382.648
2015-12-01,SUN,3121710.286
2015-12-01,WND,40184884.798
2015-12-01,WOC,1388391.162
2015-12-01,WOO,110833.82800000001
2015-12-01,WWW,7078259.596
2016-01-01,COL,224948754.81
2016-01-01,DFO,1360751.5
2016-01-01,GEO,2664012.1859999998
2016-01-01,HPS,-623516.0
2016-01-01,HYC,51229084.672
2016-01-01,MLG,3035784.698
2016-01-01,NG,219421637.292
2016-01-01,NUC,145049550.0
2016-01-01,OOG,2389699.804
2016-01-01,ORW,553315.12
2016-01-01,OTH,2274449.74
2016-01-01,PC,1931403.9880000001
2016-01-01,RFO,1226494.064
2016-01-01,SUN,2961346.25
2016-01-01,WND,36924257.317999996
2016-01-01,WOC,1970005.026
2016-01-01,WOO,198172.59
2016-01-01,WWW,7200239.196
2016-02-01,COL,183715503.95
2016-02-01,DFO,1021647.314
2016-02-01,GEO,2486767.612
2016-02-01,HPS,-797116.0
2016-02-01,HYC,48278030.958000004
2016-02-01,MLG,2846559.452
2016-02-01,NG,197360086.47
2016-02-01,NUC,131276282.0
2016-02-01,OOG,2123116.45
2016-02-01,ORW,570046.164
2016-02-01,OTH,2053422.312
2016-02-01,PC,1820198.24
2016-02-01,RFO,1358142.658
2016-02-01,SUN,4464314.324
2016-02-01,WND,40267465.214
2016-02-01,WOC,1694112.266
2016-02-01,WOO,218617.12
2016-02-01,WWW,6812665.468
2016-03-01,COL,142853505.178
2016-03-01,DFO,767083.376
2016-03-01,GEO,2630317.324
2016-03-01,HPS,-768134.0
2016-03-01,HYC,54779754.386
2016-03-01,MLG,3057392.598
2016-03-01,NG,207849530.8
2016-03-01,NUC,132297788.0
2016-03-01,OOG,2394706.546
2016-03-01,ORW,561042.926
2016-03-01,OTH,2149248.4899999998
2016-03-01,PC,1853586.398
2016-03-01,RFO,828707.716
2016-03-01,SUN,5217356.828
2016-03-01,WND,43864759.346
2016-03-01,WOC,1491548.65
2016-03-01,WOO,152732.626
2016-03-01,WWW,6805666.302
2016-04-01,COL,143140288.622
2016-04-01,DFO,709027.006
2016-04-01,GEO,2417939.67
2016-04-01,HPS,-903756.0
2016-04-01,HYC,51756057.544
2016-04-01,MLG,3048269.826
2016-04-01,NG,197929561.614
2016-04-01,NUC,125463690.0
2016-04-01,OOG,2264001.424
2016-04-01,ORW,574699.3859999999
2016-04-01,OTH,2188458.354
2016-04-01,PC,2012100.39
2016-04-01,RFO,843941.744
2016-04-01,SUN,5740618.628
2016-04-01,WND,41586140.71
2016-04-01,WOC,1085435.058
2016-04-01,WOO,113030.572
2016-04-01,WWW,5934009.532
2016-05-01,COL,162047406.08
2016-05-01,DFO,926507.828
2016-05-01,GEO,2683680.834
2016-05-01,HPS,-641434.0
2016-05-01,HYC,50972762.848
2016-05-01,MLG,3257533.904
2016-05-01,NG,221017597.196
2016-05-01,NUC,133152986.0
2016-05-01,OOG,2106633.072
2016-05-01,ORW,560487.982
2016-05-01,OTH,2356300.414
2016-05-01,PC,1947526.4780000001
2016-05-01,RFO,911321.274
2016-05-01,SUN,6828401.206
2016-05-01,WND,37681019.406
2016-05-01,WOC,1341614.504
2016-05-01,WOO,130952.098
2016-05-01,WWW,6374255.066
2016-06-01,COL,230543759.54
2016-06-01,DFO,765108.154
2016-06-01,GEO,2502785.318
2016-06-01,HPS,-994606.0
2016-06-01,HYC,46473734.782
2016-06-01,MLG,3094966.732
2016-06-01,NG,263024460.0
2016-06-01,NUC,134350648.0
2016-06-01,OOG,2086437.814
2016-06-01,ORW,493965.86
2016-06-01,OTH,2328078.812
2016-06-01,PC,2009179.6639999999
2016-06-01,RFO,1023156.478
2016-06-01,SUN,6925356.122
2016-06-01,WND,32594387.056
2016-06-01,WOC,1525009.18
2016-06-01,WOO,156133.828
2016-06-01,WWW,6827125.312
2016-07-01,COL,270667785.914
